,bankroll,alpha,binarize,fit_priorbool,span_value,test_size_value,ROI,Number_of_bets,0
629,,0.1,0.5,False,0.3,10,-0.42610766045548654,966,-311.62
630,,0.1,0.5,False,0.4,1,-0.5324316682375118,2122,-1029.82
631,,0.1,0.5,False,0.4,2,-0.5023050259965337,577,-189.82999999999996
632,,0.1,0.5,False,0.4,3,-0.4894101508916323,1458,-613.56
633,,0.1,0.5,False,0.4,4,-0.5084767441860465,1720,-774.5799999999999
634,,0.1,0.5,False,0.4,5,-0.49486151603498535,1372,-578.9499999999999
635,,0.1,0.5,False,0.4,6,-0.5022956909361069,1346,-576.0899999999999
636,,0.1,0.5,False,0.4,7,-0.4977719033232628,1324,-559.05
637,,0.1,0.5,False,0.4,8,-0.5094294525828835,1297,-560.7299999999999
638,,0.1,0.5,False,0.4,9,-0.5145475819032761,1282,-559.65
639,,0.1,0.5,False,0.4,10,-0.5135424940428911,1259,-546.55
640,,0.1,1.0,True,0.1,1,-0.09179962894248611,539,50.51999999999999
641,,0.1,1.0,True,0.1,2,-0.12902985074626871,134,82.71
642,,0.1,1.0,True,0.1,3,-0.15244755244755243,143,78.2
643,,0.1,1.0,True,0.1,4,0.05103746397694556,347,117.71000000000011
644,,0.1,1.0,True,0.1,5,-0.16336283185840728,113,81.53999999999998
645,,0.1,1.0,True,0.1,6,-0.10103703703703704,135,86.36
646,,0.1,1.0,True,0.1,7,-0.1256617647058824,136,82.91
647,,0.1,1.0,True,0.1,8,-0.127925925925926,135,82.72999999999999
648,,0.1,1.0,True,0.1,9,-0.127925925925926,135,82.72999999999999
649,,0.1,1.0,True,0.1,10,-0.23301886792452847,106,75.29999999999998
650,,0.1,1.0,True,0.2,1,-0.0630028598665395,1049,33.91000000000007
651,,0.1,1.0,True,0.2,2,-0.06361788617886158,246,84.35000000000005
652,,0.1,1.0,True,0.2,3,-0.10372822299651552,287,70.23000000000005
653,,0.1,1.0,True,0.2,4,-0.0888760806916425,694,38.32000000000011
654,,0.1,1.0,True,0.2,5,-0.10028860028860016,693,30.500000000000078
655,,0.1,1.0,True,0.2,6,-0.09275261324041793,287,73.38000000000005
656,,0.1,1.0,True,0.2,7,-0.10828767123287654,292,68.38000000000005
657,,0.1,1.0,True,0.2,8,-0.11705972434915764,653,23.560000000000066
658,,0.1,1.0,True,0.2,9,-0.11266211604095545,293,66.99000000000005
659,,0.1,1.0,True,0.2,10,-0.10628865979381426,291,69.07000000000005
660,,0.1,1.0,True,0.3,1,-0.36068920676202854,1538,-454.7399999999999
661,,0.1,1.0,True,0.3,2,-0.41008928571428577,448,-83.72000000000001
662,,0.1,1.0,True,0.3,3,-0.41140311804008917,449,-84.72000000000001
663,,0.1,1.0,True,0.3,4,-0.41008928571428577,448,-83.72000000000001
664,,0.1,1.0,True,0.3,5,-0.41008928571428577,448,-83.72000000000001
665,,0.1,1.0,True,0.3,6,-0.3747337278106509,676,-153.32
666,,0.1,1.0,True,0.3,7,-0.41008928571428577,448,-83.72000000000001
667,,0.1,1.0,True,0.3,8,-0.3500624024960999,641,-124.39000000000001
668,,0.1,1.0,True,0.3,9,-0.40742424242424236,1188,-384.0199999999999
669,,0.1,1.0,True,0.3,10,-0.3854631828978623,421,-62.280000000000015
670,,0.1,1.0,True,0.4,1,-0.5366537904394012,2071,-1011.4099999999999
671,,0.1,1.0,True,0.4,2,-0.48920454545454545,1496,-631.85
672,,0.1,1.0,True,0.4,3,-0.5532591876208897,1034,-472.07
673,,0.1,1.0,True,0.4,4,-0.4866047950502707,1293,-529.1800000000001
674,,0.1,1.0,True,0.4,5,-0.4932265112891479,1373,-577.2
675,,0.1,1.0,True,0.4,6,-0.5008463251670378,1347,-574.6399999999999
676,,0.1,1.0,True,0.4,7,-0.5177595628415299,549,-184.24999999999994
677,,0.1,1.0,True,0.4,8,-0.5089761354888375,1299,-561.1599999999999
678,,0.1,1.0,True,0.4,9,-0.5137022603273577,1283,-559.0799999999999
679,,0.1,1.0,True,0.4,10,-0.5135424940428911,1259,-546.55
680,,0.1,1.0,False,0.1,1,-0.08407207207207211,555,53.33999999999998
681,,0.1,1.0,False,0.1,2,0.02184848484848509,330,107.21000000000008
682,,0.1,1.0,False,0.1,3,-0.12902985074626871,134,82.71
683,,0.1,1.0,False,0.1,4,-0.1682300884955754,113,80.98999999999998
684,,0.1,1.0,False,0.1,5,0.03728337236533991,427,115.92000000000014
685,,0.1,1.0,False,0.1,6,-0.11261194029850749,134,84.91
686,,0.1,1.0,False,0.1,7,0.01867283950617305,324,106.05000000000007
687,,0.1,1.0,False,0.1,8,0.013280254777070295,314,104.17000000000007
688,,0.1,1.0,False,0.1,9,0.009967105263158133,304,103.03000000000007
689,,0.1,1.0,False,0.1,10,-0.13433823529411773,136,81.72999999999999
690,,0.1,1.0,False,0.2,1,-0.06902687673772007,1079,25.520000000000053
691,,0.1,1.0,False,0.2,2,-0.057654320987654106,243,85.99000000000005
692,,0.1,1.0,False,0.2,3,-0.110299003322259,301,66.80000000000004
693,,0.1,1.0,False,0.2,4,-0.10969060773480666,905,0.7299999999999756
694,,0.1,1.0,False,0.2,5,-0.0895804195804194,286,74.38000000000005
695,,0.1,1.0,False,0.2,6,-0.110299003322259,301,66.80000000000004
696,,0.1,1.0,False,0.2,7,-0.11179640718562862,668,25.32000000000008
697,,0.1,1.0,False,0.2,8,-0.11123711340206167,291,67.63000000000005
698,,0.1,1.0,False,0.2,9,-0.10817241379310327,290,68.63000000000005
699,,0.1,1.0,False,0.2,10,-0.1286833855799373,638,17.900000000000013
700,,0.1,1.0,False,0.3,1,-0.35998728544183084,1573,-466.2599999999999
701,,0.1,1.0,False,0.3,2,-0.4001082055906222,1109,-343.72
702,,0.1,1.0,False,0.3,3,-0.4214246575342466,1095,-361.46000000000004
703,,0.1,1.0,False,0.3,4,-0.38225419664268595,417,-59.40000000000002
704,,0.1,1.0,False,0.3,5,-0.41794230769230767,1040,-334.65999999999997
705,,0.1,1.0,False,0.3,6,-0.38373205741626804,418,-60.40000000000002
706,,0.1,1.0,False,0.3,7,-0.3895734597156399,422,-64.40000000000002
707,,0.1,1.0,False,0.3,8,-0.4294939271255061,988,-324.34000000000003
